TIMESTAMP,Activity_1,Activity_2
2017-11-09 12:02:30,Idle,Idle
2017-11-09 12:03:00,Idle,Idle
2017-11-09 12:03:30,Act21,Act21
2017-11-09 12:04:00,Act21,Act21
2017-11-09 12:04:30,Act24,Idle
2017-11-09 12:05:00,Act21,Act17
2017-11-09 12:05:30,Act17,Act21
2017-11-09 12:06:00,Act17,Act02
2017-11-09 12:06:30,Act02,Act21
2017-11-09 12:07:00,Act02,Act21
2017-11-09 12:07:30,Act02,Act21
2017-11-09 12:08:00,Act02,Idle
2017-11-09 12:08:30,Act21,Act02
2017-11-09 12:09:00,Act21,Act24
2017-11-09 12:09:30,Act24,Act21
2017-11-09 12:10:00,Act24,Act24
2017-11-09 12:10:30,Act24,Act24
2017-11-09 12:11:00,Act24,Act24
2017-11-09 12:11:30,Act24,Act24
2017-11-09 12:12:00,Act24,Act21
2017-11-09 12:12:30,Act21,Act24
2017-11-09 12:13:00,Act02,Idle
2017-11-09 12:13:30,Act17,Idle
2017-11-09 12:14:00,Act17,Act21
2017-11-09 12:14:30,Act17,Act21
2017-11-09 12:15:00,Act21,Idle
2017-11-09 12:15:30,Act21,Act21
2017-11-09 12:16:00,Act21,Idle
2017-11-09 12:16:30,Act21,Idle
2017-11-09 12:17:00,Act21,Idle
2017-11-09 12:17:30,Act21,Idle
2017-11-09 12:18:00,Idle,Act13
2017-11-09 12:18:30,Idle,Act21
2017-11-09 12:19:00,Act21,Idle
2017-11-09 12:19:30,Act21,Act21
2017-11-09 12:20:00,Act21,Act21
2017-11-09 12:20:30,Act21,Act21
2017-11-09 12:21:00,Act21,Act21
2017-11-09 12:21:30,Act21,Act21
2017-11-09 12:22:00,Act21,Act21
2017-11-09 12:22:30,Act21,Act22
2017-11-09 12:23:00,Act22,Act21
2017-11-09 12:23:30,Act22,Act21
2017-11-09 12:24:00,Act22,Act21
2017-11-09 12:24:30,Idle,Act24
2017-11-09 12:25:00,Idle,Act24
2017-11-09 12:25:30,Act24,Idle
2017-11-09 12:26:00,Idle,Idle
2017-11-09 12:26:30,Idle,Idle
