TIME_BEGIN,TIME_END,PREDICCION
13:13:49,13:13:50,Act06
13:13:51,13:13:55,Act06
13:13:56,13:13:56,Act06
13:13:57,13:14:05,Act06
13:14:06,13:14:06,Act10
13:14:07,13:14:10,Act10
13:14:11,13:14:12,Act01
13:14:13,13:14:15,Act10
13:14:16,13:14:16,Act10
13:14:17,13:14:27,Act06
13:14:28,13:14:29,Act06
13:14:30,13:14:30,Act06
13:14:31,13:14:32,Act10
13:14:33,13:14:37,Act10
13:14:38,13:14:38,Act10
13:14:39,13:14:40,Act10
13:14:41,13:14:41,Act10
13:14:42,13:14:42,Act10
13:14:43,13:14:43,Act01
13:14:44,13:14:44,Act01
13:14:45,13:14:45,Act01
13:14:46,13:14:46,Act06
13:14:47,13:14:47,Act08
13:14:48,13:14:49,Act03
13:14:50,13:14:51,Act19
13:14:52,13:14:52,Act03
13:14:53,13:14:53,Act03
13:14:54,13:14:54,Act19
13:14:55,13:14:55,Act03
13:14:56,13:14:56,Act03
13:14:57,13:14:58,Act03
13:14:59,13:14:59,Act03
13:15:00,13:15:02,Act03
13:15:03,13:15:03,Act03
13:15:04,13:15:05,Act03
13:15:06,13:15:06,Act03
13:15:07,13:15:07,Act03
13:15:08,13:15:10,Act06
13:15:11,13:15:11,Act03
13:15:12,13:15:13,Act03
13:15:14,13:15:16,Act06
13:15:17,13:15:19,Act03
13:15:20,13:15:21,Act06
13:15:22,13:15:22,Act03
13:15:23,13:15:23,Act03
13:15:24,13:15:24,Act03
13:15:25,13:15:25,Act03
13:15:26,13:15:26,Act03
13:15:27,13:15:27,Act03
13:15:28,13:15:29,Act03
13:15:30,13:15:30,Act03
13:15:31,13:15:33,Act06
13:15:34,13:15:34,Act19
13:15:35,13:15:36,Act19
13:15:37,13:15:38,Act03
13:15:39,13:15:39,Act03
13:15:40,13:15:43,Act03
13:15:44,13:15:45,Act03
13:15:46,13:15:47,Act06
13:15:48,13:15:48,Act06
13:15:49,13:15:49,Act03
13:15:50,13:15:50,Act19
13:15:51,13:15:53,Act03
13:15:54,13:15:55,Act03
13:15:56,13:15:56,Act03
13:15:57,13:15:57,Act03
13:15:58,13:16:01,Act03
13:16:02,13:16:02,Act03
13:16:03,13:16:03,Act03
13:16:04,13:16:04,Act03
13:16:05,13:16:05,Act03
13:16:06,13:16:06,Act03
13:16:07,13:16:08,Act03
13:16:09,13:16:09,Act03
13:16:10,13:16:10,Act03
13:16:11,13:16:11,Act06
13:16:12,13:16:13,Act03
13:16:14,13:16:14,Act03
13:16:15,13:16:15,Act03
13:16:16,13:16:17,Act03
13:16:18,13:16:18,Act03
13:16:19,13:16:19,Act03
13:16:20,13:16:20,Act19
13:16:21,13:16:21,Act03
13:16:22,13:16:22,Act03
13:16:23,13:16:23,Act03
13:16:24,13:16:24,Act03
13:16:25,13:16:25,Act03
13:16:26,13:16:29,Act03
13:16:30,13:16:31,Act03
13:16:32,13:16:32,Act03
13:16:33,13:16:36,Act03
13:16:37,13:16:37,Act06
13:16:38,13:16:39,Act03
13:16:40,13:16:40,Act06
13:16:41,13:16:42,Act06
13:16:43,13:16:43,Act06
13:16:44,13:16:45,Act03
13:16:46,13:16:46,Act06
13:16:47,13:16:47,Act06
13:16:48,13:16:48,Act06
13:16:49,13:16:53,Act03
13:16:54,13:16:54,Act06
13:16:55,13:16:56,Act03
13:16:57,13:16:59,Act06
13:17:00,13:17:00,Act03
13:17:01,13:17:04,Act06
13:17:05,13:17:06,Act06
13:17:07,13:17:10,Act03
13:17:11,13:17:12,Act06
13:17:13,13:17:13,Act06
13:17:14,13:17:14,Act03
13:17:15,13:17:18,Act03
13:17:19,13:17:19,Act06
13:17:20,13:17:21,Act03
13:17:22,13:17:24,Act06
13:17:25,13:17:28,Act03
13:17:29,13:17:32,Act03
13:17:33,13:17:34,Act03
13:17:35,13:17:38,Act06
13:17:39,13:17:44,Act03
13:17:45,13:17:45,Act06
13:17:46,13:17:47,Act03
13:17:48,13:17:49,Act06
13:17:50,13:17:53,Act06
13:17:54,13:18:00,Act03
13:18:01,13:18:01,Act06
13:18:02,13:18:05,Act03
13:18:06,13:18:06,Act06
13:18:07,13:18:09,Act03
