TIMESTAMP,Activity_1
2017-11-21 09:41:30,Idle
2017-11-21 09:42:00,Act05
2017-11-21 09:42:30,Act05
2017-11-21 09:43:00,Act05
2017-11-21 09:43:30,Act05
2017-11-21 09:44:00,Act05
2017-11-21 09:44:30,Act05
2017-11-21 09:45:00,Act05
2017-11-21 09:45:30,Act05
2017-11-21 09:46:00,Act05
2017-11-21 09:46:30,Act05
2017-11-21 09:47:00,Act05
2017-11-21 09:47:30,Act05
2017-11-21 09:48:00,Act05
2017-11-21 09:48:30,Act05
2017-11-21 09:49:00,Act05
2017-11-21 09:49:30,Act05
2017-11-21 09:50:00,Act05
2017-11-21 09:50:30,Act05
2017-11-21 09:51:00,Act05
2017-11-21 09:51:30,Act05
2017-11-21 09:52:00,Act05
2017-11-21 09:52:30,Act05
2017-11-21 09:53:00,Act05
2017-11-21 09:53:30,Act05
2017-11-21 09:54:00,Act05
2017-11-21 09:54:30,Act05
2017-11-21 09:55:00,Act05
2017-11-21 09:55:30,Act05
2017-11-21 09:56:00,Act05
2017-11-21 09:56:30,Act05
2017-11-21 09:57:00,Act05
2017-11-21 09:57:30,Act05
2017-11-21 09:58:00,Act05
2017-11-21 09:58:30,Act05
2017-11-21 09:59:00,Act05
2017-11-21 09:59:30,Act05
2017-11-21 10:00:00,Act05
2017-11-21 10:00:30,Act05
2017-11-21 10:01:00,Act05
2017-11-21 10:01:30,Act05
2017-11-21 10:02:00,Act05
2017-11-21 10:02:30,Act05
2017-11-21 10:03:00,Act05
2017-11-21 10:03:30,Act05
2017-11-21 10:04:00,Act05
2017-11-21 10:04:30,Act05
2017-11-21 10:05:00,Act05
2017-11-21 10:05:30,Act05
2017-11-21 10:06:00,Act05
2017-11-21 10:06:30,Act05
2017-11-21 10:07:00,Act05
2017-11-21 10:07:30,Act05
2017-11-21 10:08:00,Act05
2017-11-21 10:08:30,Act05
2017-11-21 10:09:00,Act05
2017-11-21 10:09:30,Act05
2017-11-21 10:10:00,Act05
2017-11-21 10:10:30,Idle
