TIME_BEGIN,TIME_END,PREDICCION
13:13:49,13:13:50,6
13:13:51,13:13:55,6
13:13:56,13:13:56,6
13:13:57,13:14:05,6
13:14:06,13:14:06,6
13:14:07,13:14:10,10
13:14:11,13:14:12,10
13:14:13,13:14:15,10
13:14:16,13:14:16,6
13:14:17,13:14:27,6
13:14:28,13:14:29,6
13:14:30,13:14:30,6
13:14:31,13:14:32,6
13:14:33,13:14:37,10
13:14:38,13:14:38,6
13:14:39,13:14:40,10
13:14:41,13:14:41,10
13:14:42,13:14:42,10
13:14:43,13:14:43,10
13:14:44,13:14:44,1
13:14:45,13:14:45,3
13:14:46,13:14:46,3
13:14:47,13:14:47,3
13:14:48,13:14:49,3
13:14:50,13:14:51,1
13:14:52,13:14:52,3
13:14:53,13:14:53,3
13:14:54,13:14:54,1
13:14:55,13:14:56,6
13:14:57,13:14:58,3
13:14:59,13:14:59,6
13:15:00,13:15:02,3
13:15:03,13:15:03,3
13:15:04,13:15:05,3
13:15:06,13:15:06,3
13:15:07,13:15:07,6
13:15:08,13:15:10,6
13:15:11,13:15:11,6
13:15:12,13:15:13,3
13:15:14,13:15:16,6
13:15:17,13:15:19,6
13:15:20,13:15:21,6
13:15:22,13:15:22,6
13:15:23,13:15:23,3
13:15:24,13:15:24,6
13:15:25,13:15:25,6
13:15:26,13:15:27,3
13:15:28,13:15:29,3
13:15:30,13:15:30,3
13:15:31,13:15:33,6
13:15:34,13:15:34,1
13:15:35,13:15:36,3
13:15:37,13:15:38,3
13:15:39,13:15:39,3
13:15:40,13:15:43,3
13:15:44,13:15:45,3
13:15:46,13:15:47,6
13:15:48,13:15:49,6
13:15:50,13:15:50,1
13:15:51,13:15:53,3
13:15:54,13:15:55,3
13:15:56,13:15:56,3
13:15:57,13:15:57,6
13:15:58,13:16:01,3
13:16:02,13:16:02,3
13:16:03,13:16:03,3
13:16:04,13:16:04,3
13:16:05,13:16:05,3
13:16:06,13:16:06,3
13:16:07,13:16:08,3
13:16:09,13:16:09,3
13:16:10,13:16:10,3
13:16:11,13:16:11,6
13:16:12,13:16:13,3
13:16:14,13:16:14,3
13:16:15,13:16:15,3
13:16:16,13:16:17,3
13:16:18,13:16:18,3
13:16:19,13:16:19,6
13:16:20,13:16:20,1
13:16:21,13:16:21,3
13:16:22,13:16:22,1
13:16:23,13:16:23,3
13:16:24,13:16:24,3
13:16:25,13:16:25,3
13:16:26,13:16:29,3
13:16:30,13:16:31,3
13:16:32,13:16:32,6
13:16:33,13:16:36,6
13:16:37,13:16:37,6
13:16:38,13:16:39,6
13:16:40,13:16:40,6
13:16:41,13:16:42,6
13:16:43,13:16:43,6
13:16:44,13:16:45,6
13:16:46,13:16:46,6
13:16:47,13:16:47,1
13:16:48,13:16:48,6
13:16:49,13:16:53,6
13:16:54,13:16:54,6
13:16:55,13:16:56,6
13:16:57,13:16:59,6
13:17:00,13:17:00,6
13:17:01,13:17:04,6
13:17:05,13:17:10,6
13:17:11,13:17:12,6
13:17:13,13:17:13,6
13:17:14,13:17:14,6
13:17:15,13:17:18,6
13:17:19,13:17:19,6
13:17:20,13:17:21,6
13:17:22,13:17:24,6
13:17:25,13:17:28,6
13:17:29,13:17:32,6
13:17:33,13:17:34,6
13:17:35,13:17:38,6
13:17:39,13:17:44,6
13:17:45,13:17:45,6
13:17:46,13:17:47,6
13:17:48,13:17:49,6
13:17:50,13:17:53,1
13:17:54,13:18:00,6
13:18:01,13:18:01,6
13:18:02,13:18:05,6
13:18:06,13:18:06,6
13:18:07,13:18:09,6
13:18:10,13:18:10,3
13:18:11,13:18:11,6
13:18:12,13:18:14,6
13:18:15,13:18:15,1
13:18:16,13:18:18,6
13:18:19,13:18:20,1
13:18:21,13:18:26,6
13:18:27,13:18:31,1
13:18:32,13:18:34,6
13:18:35,13:18:40,1
13:18:41,13:18:41,6
13:18:42,13:18:44,6
13:18:45,13:18:45,3
13:18:46,13:18:47,6
13:18:48,13:18:51,6
13:18:52,13:18:55,1
13:18:56,13:19:01,6
13:19:02,13:19:08,1
13:19:09,13:19:10,6
13:19:11,13:19:22,1
13:19:23,13:19:26,6
13:19:27,13:19:27,6
13:19:28,13:19:30,6
13:19:31,13:19:36,6
13:19:37,13:19:41,6
13:19:42,13:19:48,6
13:19:49,13:19:49,6
13:19:50,13:19:51,6
13:19:52,13:19:53,6
13:19:54,13:19:57,6
13:19:58,13:19:58,6
13:19:59,13:20:01,6
13:20:02,13:20:03,3
13:20:04,13:20:06,6
13:20:07,13:20:07,6
13:20:08,13:20:08,6
13:20:09,13:20:16,6
13:20:17,13:20:18,1
13:20:19,13:20:19,6
13:20:20,13:20:24,6
13:20:25,13:20:27,6
13:20:28,13:20:29,6
13:20:30,13:20:30,6
13:20:31,13:20:34,6
13:20:35,13:20:38,1
13:20:39,13:20:39,6
13:20:40,13:20:42,1
13:20:43,13:20:44,6
13:20:45,13:20:46,6
13:20:47,13:20:48,3
13:20:49,13:20:52,6
13:20:53,13:20:53,6
13:20:54,13:20:55,6
13:20:56,13:20:56,6
13:20:57,13:20:57,6
13:20:58,13:20:58,6
13:20:59,13:20:59,6
13:21:00,13:21:00,6
13:21:01,13:21:02,6
13:21:03,13:21:03,6
13:21:04,13:21:08,6
13:21:09,13:21:15,1
13:21:16,13:21:19,6
13:21:20,13:21:35,1
13:21:36,13:21:37,6
13:21:38,13:21:38,3
13:21:39,13:21:39,1
13:21:40,13:21:40,3
13:21:41,13:21:42,6
13:21:43,13:21:43,1
13:21:44,13:21:46,3
13:21:47,13:21:49,3
13:21:50,13:21:50,6
13:21:51,13:21:52,6
13:21:53,13:21:53,3
13:21:54,13:21:54,3
13:21:55,13:21:56,3
13:21:57,13:21:57,3
13:21:58,13:22:04,3
13:22:05,13:22:05,3
13:22:06,13:22:07,3
13:22:08,13:22:08,3
13:22:09,13:22:09,3
13:22:10,13:22:10,3
13:22:11,13:22:12,3
13:22:13,13:22:14,3
13:22:15,13:22:18,3
13:22:19,13:22:19,6
13:22:20,13:22:20,6
13:22:21,13:22:21,6
13:22:22,13:22:22,6
13:22:23,13:22:23,6
13:22:24,13:22:24,6
13:22:25,13:22:27,6
13:22:28,13:22:28,3
13:22:29,13:22:35,6
13:22:36,13:22:39,3
13:22:40,13:22:42,6
13:22:43,13:22:44,3
13:22:45,13:22:48,3
13:22:49,13:22:49,3
13:22:50,13:22:56,6
13:22:57,13:22:57,6
13:22:58,13:23:00,3
13:23:01,13:23:05,3
13:23:06,13:23:08,3
